,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
587811,1577060170,49d3fa,46.80189514160156,21.53829435022866,221.34547198621883,124.87201778936732,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10660.38,10469.88,1577060155.793,1577060168.6829998
593789,1577060180,49d3fa,46.80189514160156,21.53829435022866,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060155.793,1577060178.9160001
598835,1577060190,49d3fa,46.80189514160156,21.53829435022866,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060155.793,1577060188.583
605711,1577060200,49d3fa,46.80189514160156,21.53829435022866,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060155.793,1577060198.7729998
613498,1577060210,49d3fa,46.80189514160156,21.53829435022866,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060155.793,1577060198.7729998
618703,1577060220,49d3fa,46.80189514160156,21.53829435022866,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060155.793,1577060218.052
623329,1577060230,49d3fa,46.72352600097656,21.70295529249238,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060224.658,1577060229.0310001
631693,1577060240,49d3fa,46.72352600097656,21.70295529249238,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060224.658,1577060229.0310001
636977,1577060250,49d3fa,46.72352600097656,21.70295529249238,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060224.658,1577060249.8370001
641798,1577060260,49d3fa,46.72352600097656,21.70295529249238,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060224.658,1577060259.341
650462,1577060270,49d3fa,46.72352600097656,21.70295529249238,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060224.658,1577060262.071
654929,1577060280,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060279.1260002
660261,1577060290,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
667806,1577060300,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
673343,1577060310,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
678918,1577060320,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
686194,1577060330,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
690940,1577060340,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
697845,1577060350,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
705010,1577060360,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
709609,1577060370,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
716438,1577060380,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
722722,1577060390,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
728438,1577060400,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
734157,1577060410,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
